variables y definiciones,descripción,
siniestro vial,Incidente ocurrido en una vía de acceso público en el que participa al menos un vehículo y que resulta en al menos una persona lesionada o fallecida.,
id,identificador unico del siniestro,
n_victimas,cantidad de víctimas,
aaaa,año,
mm,mes,
dd,día del mes,
fecha,fecha en formato dd/mm/aaaa,
hora,hora del siniestro,
franja_hora,franja horaria entera,
direccion_normalizada,direccion en formato normalizado USIG,
comuna,comuna de CABA con jurisdicción según la ubicación,
tipo_calle,Tipo de arteria. En el caso de intersecciones a nivel se clasifica según la de mayor jerarquía,
otra_direccion,direccion en formato alternativo,
calle,nombre de la arteria donde se produjo el hecho,
altura,altura de la arteria donde se produjo el hecho,
cruce,cruce en caso de que sea una encrucijada,
geocodificacion_CABA,geocodificación plana,
longitud,longitud con separador punto. WGS84,
latutid,latitud con separador punto. WGS84,
victima,"Vehículo que ocupaba quien haya fallecido a se haya lastimado a raíz del hecho, o bien peatón/a",
acusado,"Vehículo que ocupaba quien resultó acusado/a del hecho, sin implicar culpabilidad legal",
participantes,conjunción de víctima y acusado,
moto,"participación de algún motovehículo, sea víctima u acusado",
auto,"participación de algún automovil, sea víctima u acusado",
transporte_publico,"participación de algún vehículo de transporte público de pasajeros, sea víctima u acusado",
camion,"participación de algún vehículo de cargas camión, sea víctima u acusado",
ciclista,"participación de algún ciclista, sea víctima u acusado",
gravedad,Nivel máximo conocido de gravedad de la lesión de la(s) víctima(s) del siniestro en función del tiempo de hospitalización,
,,
,,
,,
Variables,valores,descripción
tipo_calle,calle,Arteria cuya calzada tiene un ancho comprendido entre cinco (5) y trece (13) metros. Inlcluye pasajes.
,avenida,Arteria cuya calzada tiene un ancho total de por lo menos trece (13) metros.
,autopista,"Vía multicarril con calzadas para ambas manos separadas físicamente, sin cruces a nivel, con accesos controlados y sin ingreso directo desde los predios frentistas lindantes. Incluye AU 25 de mayo, AU Perito Moreno, AU Dellepiane, Av Lugones, Av. Cantilo, AU Frondizi, AU Buenos Aires - La Plata en el tramo que circula dentro de la Ciudad de Buenos Aires y Paseo del Bajo. Incluye ingresos y egresos de las mismas y distribuidores."
,general paz,"Avenida General Paz, ambos sentidos. Incluye ingresos y egresos de las mismas, distribuidores y calle colectora."
