variables y definiciones,descripción,
ID hecho,identificador unico del siniestro,
AÑO,año,
MES,mes,
DIA,día del mes,
FECHA ,fecha en formato dd/mm/aaaa,
VEHICULO_VICTIMA,"Vehículo que ocupaba quien haya fallecido a se haya lastimado a raíz del hecho, o bien peatón/a",
SEXO,Sexo de la víctima según registro policial,
EDAD_VICTIMA,Edad en años enterios de la víctima en registro policial,
GRAVEDAD,Nivel máximo conocido de gravedad de la lesión de la víctima del siniestro en función del tiempo de hospitalización,
,,
,,
,,
,,
Variables,valores,descripción
VEHICULO_VICTIMA,AUTO,"Vehículo a motor destinado al transporte de personas, diferente de los motovehículos, y que tenga hasta nueve plazas (incluyendo al asiento del conductor) (Sedan, SUV, coupe, etc)"
,CAMION,"Vehículo a motor diseñado, exclusiva o principalmente, para el transporte de mercancías que posee una masa máxima autorizada superior a 3.500kg, (con o sin acoplado o semirremolque, etc.), camión de recolección de residuos. "
,UTILITARIO,"Vehículo a motor diseñado, exclusiva o principalmente, para el transporte de mercancías que posee una masa máxima autorizada de hasta 3.500kg, (utilitarios, furgonetas, pick-ups, UTILITARIO con caja de carga) "
,CICLISTA,"Vehículo con al menos dos ruedas, que generalmente es accionado por el esfuerzo muscular de las personas que lo ocupan, en particular mediante pedales o manivelas. Incluye bicicletas de pedaleo asistido y/o con motor"
,MIXTO,más de un tippo de usuario/a de la vía víctima
,MONOPATIN,"Dispositivo de movilidad personal, eléctrico o no"
,MOTO,"Vehículo a motor no carrozado que incluye motocicleta, ciclomotor y cuatriciclo."
,MOVIL,"Vehículos de emergencia: móviles policiales, ambulancias, autobombas. "
,PEATON,"Víctima distinta de cualquier ocupante de un vehículo, ya sea un conductor/a o un pasajero/a. Se incluyen los ocupantes o personas que empujan o arrastran un coche de bebé o una silla de ruedas o cualquier otro vehículo sin motor de pequeñas dimensiones. Se incluyen también las personas que caminan empujando una bicicleta o un ciclomotor."
,TAXI,"Automóvil de alquiler no sujeto a itinerario predeterminado, sin tarifa prefijada para el recorrido total, usado por ocupación total del vehículo, que no toma o deja pasajeros con boletos, billetes o pagos individuales."
,TRANSPORTE PUBLICO,"Personas lesionadas que se encuentran dentro, descendiendo o ascendiendo de las unidades de autotrasporte público de pasajeros/as"
,OTRO,otros vehiculos
,SD,Sin datos sobre el tipo de víctima
Gravedad,leve,"Toda persona que requiere una atención médica mínima o nula (como esguinces, hematomas, heridas superficiales y rasguños) o cuya hospitalización exige menos de 24 hs de permanencia en un nosocomio."
,grave,"Toda persona que cuya lesión exige la hospitalización de al menos 24 hs o una atención especializada, como fracturas, conmoción, shock grave y laceraciones importantes."
,fatal,Víctima que fallece dentro de los 30 días de producido el siniestro vial por causas directa o indirectamente atribuibles al hecho.
,sd,"Sin datos sobre la gravedad de las lesiones provocadas. A efectos analíticos, los casos sin datos se corresponden con una alta probabilidad a casos leves."
