,AÑO,SEMESTRE,ID_SINIESTRO,TOTAL,TASA_HOMICIDIOS,REDUCCION
0,2016,1,64,3018777,2.120063853673193,
1,2016,2,80,3018777,2.650079817091491,-24.999999999999993
2,2017,1,64,3040764,2.104734204956386,20.5784598870547
3,2017,2,67,3040764,2.2033936208137166,-4.68749999999999
4,2018,1,67,3062912,2.187460821597225,0.7231027205482914
5,2018,2,76,3062912,2.4812988424087927,-13.432835820895525
6,2019,1,56,3085220,1.8151055678363293,26.848570723780174
7,2019,2,46,3085220,1.490979573579842,17.857142857142858
8,2020,1,31,3107692,0.9975248512400844,33.09600822732754
9,2020,2,47,3107692,1.5123763873639988,-51.61290322580644
10,2021,1,55,3130327,1.7570049391006115,-16.175110493690582
11,2021,2,42,3130327,1.3417128625859214,23.636363636363644
