,ID_SINIESTRO,VICTIMAS,AÑO,MES,DIA,HORA,DIRECCION,DIRECCION_NORMALIZADA,COMUNA,XY_CABA,LONGITUD,LATITUD,PARTICIPANTES,VICTIMA,ACUSADO
0,2016-0001,1,2016,1,1,4:00:00,Av Piedra Buena Y Av Fernandez De La Cruz,"Piedra Buena Av. Y Fernandez De La Cruz, F., Gral. Av.",8,"98896.78238426, 93532.43437792",-58.47533969,-34.68757022,Moto-Auto,Moto,Auto
1,2016-0002,1,2016,1,2,1:15:00,Av Gral Paz  Y Av De Los Corrales,"Paz, Gral. Av. Y De Los Corrales Av.",9,"95832.05571093, 95505.41641999",-58.50877521,-34.66977709,Auto-Pasajeros,Auto,Pasajeros
2,2016-0003,1,2016,1,3,7:00:00,Av Entre Rios 2034,Entre Rios Av. 2034,1,"106684.29090040, 99706.57687843",-58.39040293,-34.63189362,Moto-Auto,Moto,Auto
3,2016-0004,1,2016,1,10,0:00:00,Av Larrazabal Y Gral Villegas Conrado,"Larrazabal Av. Y Villegas, Conrado, Gral.",8,"99840.65224780, 94269.16534422",-58.46503904,-34.68092974,Moto-Sd,Moto,Sd
4,2016-0005,1,2016,1,21,5:20:00,Av San Juan Y Presidente Luis Saenz Pena ,"San Juan Av. Y Saenz Peaa, Luis, Pres.",1,"106980.32827929, 100752.16915795",-58.38718297,-34.62246630,Moto-Pasajeros,Moto,Pasajeros
5,2016-0008,1,2016,1,24,18:30:00,Av 27 De Febrero Y Av Escalada,27 De Febrero Av. Y Escalada Av.,8,"101721.59002217, 93844.25656649",-58.44451316,-34.68475866,Moto-Objeto Fijo,Moto,Objeto Fijo
6,2016-0009,1,2016,1,24,19:10:00,Nogoya Y Joaquin V. Gonzales,"Nogoya Y Gonzalez, Joaquin V.",11,"96545.87592078, 102330.67262199",-58.50095869,-34.60825440,Moto-Auto,Moto,Auto
7,2016-0010,1,2016,1,29,15:20:00,Av General Paz Y Av De Los Corrales,"Paz, Gral. Av. Y De Los Corrales Av.",9,"95832.05571093, 95505.41641999",-58.50877521,-34.66977709,Moto-Auto,Moto,Auto
8,2016-0012,1,2016,2,8,1:20:00,Av Belgrano Y Bernardo De Irigoyen,"Belgrano Av. E Irigoyen, Bernardo De",1,"107595.35084333, 101797.50052813",-58.38048577,-34.61303893,Moto-Cargas,Moto,Cargas
9,2016-0013,1,2016,2,10,11:30:00,Av Entre Rios 1366,Entre Rios Av. 1366,1,"106616.41069662, 100496.44662323",-58.39114932,-34.62477387,Peaton-Auto,Peaton,Auto
