,ID_SINIESTRO,AÑO,MES,DIA,ROL,VICTIMA,SEXO,EDAD,FECHA_FALLECIMIENTO
0,2016-0001,2016,1,1,Conductor,Moto,Masculino,19,1/1/2016
1,2016-0002,2016,1,2,Conductor,Auto,Masculino,70,1/2/2016
2,2016-0003,2016,1,3,Conductor,Moto,Masculino,30,1/3/2016
3,2016-0004,2016,1,10,Conductor,Moto,Masculino,18,SD
4,2016-0005,2016,1,21,Conductor,Moto,Masculino,29,2/1/2016
5,2016-0008,2016,1,24,Conductor,Moto,Masculino,30,1/24/2016
6,2016-0009,2016,1,24,Pasajero_Acompanante,Moto,Masculino,29,1/26/2016
7,2016-0010,2016,1,29,Conductor,Moto,Masculino,18,1/29/2016
8,2016-0012,2016,2,8,Conductor,Moto,Masculino,22,2/8/2016
9,2016-0013,2016,2,10,Peaton,Peaton,Masculino,16,2/10/2016
10,2016-0015,2016,2,14,Peaton,Peaton,Femenino,16,2/14/2016
11,2016-0016,2016,2,14,Pasajero_Acompanante,Moto,Femenino,19,2/14/2016
12,2016-0017,2016,2,15,Peaton,Peaton,Masculino,59,2/16/2016
13,2016-0019,2016,2,17,Peaton,Peaton,Femenino,65,2/17/2016
14,2016-0020,2016,2,17,Peaton,Peaton,Masculino,59,3/2/2016
15,2016-0021,2016,2,17,Conductor,Auto,Masculino,34,2/17/2016
16,2016-0022,2016,2,21,Pasajero_Acompanante,Moto,Masculino,41,SD
17,2016-0025,2016,2,28,Pasajero_Acompanante,Auto,Masculino,34,2/28/2016
18,2016-0026,2016,2,28,Conductor,Auto,Masculino,30,3/4/2016
19,2016-0027,2016,2,28,Pasajero_Acompanante,Auto,Masculino,34,SD
20,2016-0028,2016,3,2,Peaton,Peaton,Masculino,50,3/2/2016
21,2016-0029,2016,3,4,Peaton,Peaton,Masculino,38,3/4/2016
22,2016-0031,2016,3,8,Conductor,Moto,Masculino,21,SD
23,2016-0034,2016,3,12,Peaton,Peaton,Masculino,52,3/12/2016
24,2016-0035,2016,3,13,Conductor,Moto,Masculino,34,3/13/2016
25,2016-0036,2016,3,14,Pasajero_Acompanante,Moto,Masculino,36,3/14/2016
26,2016-0037,2016,3,19,Conductor,Moto,Masculino,20,3/19/2016
27,2016-0038,2016,3,21,Peaton,Peaton,Masculino,29,3/21/2016
28,2016-0039,2016,3,23,Conductor,Moto,Masculino,20,3/23/2016
29,2016-0041,2016,3,29,Conductor,Moto,Masculino,54,3/29/2016
30,2016-0041,2016,3,29,Pasajero_Acompanante,Moto,Masculino,SD,3/30/2016
31,2016-0043,2016,3,30,Peaton,Peaton,Femenino,56,3/30/2016
32,2016-0044,2016,3,31,Conductor,Moto,Masculino,24,3/31/2016
33,2016-0045,2016,4,11,Conductor,Moto,Masculino,SD,SD
34,2016-0047,2016,4,15,Peaton,Peaton,Masculino,41,4/15/2016
35,2016-0048,2016,4,15,Peaton,Peaton,Femenino,SD,SD
36,2016-0049,2016,4,17,Sd,Sd,Sd,SD,SD
37,2016-0050,2016,4,19,Peaton,Peaton,Masculino,78,4/19/2016
38,2016-0051,2016,4,20,Conductor,Moto,Masculino,36,4/20/2016
39,2016-0052,2016,4,20,Sd,Moto,Sd,SD,SD
40,2016-0053,2016,4,22,Peaton,Peaton,Masculino,38,4/22/2016
41,2016-0054,2016,4,23,Conductor,Moto,Masculino,30,4/25/2016
42,2016-0055,2016,4,25,Peaton,Peaton,Masculino,79,4/28/2016
43,2016-0056,2016,4,26,Conductor,Moto,Masculino,26,4/26/2016
44,2016-0058,2016,5,4,Peaton,Peaton,Femenino,57,5/8/2016
45,2016-0059,2016,5,8,Peaton,Peaton,Masculino,37,5/26/2016
46,2016-0064,2016,5,14,Peaton,Peaton,Masculino,20,SD
47,2016-0065,2016,5,20,Peaton,Peaton,Masculino,20,5/20/2016
48,2016-0067,2016,5,21,Pasajero_Acompanante,Moto,Femenino,30,SD
49,2016-0068,2016,5,22,Conductor,Moto,Masculino,58,SD
50,2016-0069,2016,5,23,Conductor,Auto,Masculino,30,5/23/2016
51,2016-0073,2016,6,11,Conductor,Moto,Masculino,23,SD
52,2016-0074,2016,6,12,Conductor,Auto,Masculino,60,SD
53,2016-0075,2016,6,12,Peaton,Peaton,Masculino,42,6/12/2016
54,2016-0076,2016,6,13,Peaton,Peaton,Femenino,53,6/13/2016
55,2016-0077,2016,6,13,Peaton,Peaton,Femenino,SD,SD
56,2016-0078,2016,6,13,Conductor,Moto,Masculino,30,SD
57,2016-0079,2016,6,16,Conductor,Auto,Femenino,51,SD
58,2016-0080,2016,6,18,Conductor,Auto,Masculino,60,SD
59,2016-0081,2016,6,22,Conductor,Moto,Masculino,40,SD
60,2016-0082,2016,6,27,Peaton,Peaton,Masculino,87,7/5/2016
61,2016-0083,2016,6,28,Peaton,Peaton,Femenino,76,6/29/2016
62,2016-0084,2016,6,29,Peaton,Peaton,Masculino,57,7/8/2016
63,2016-0085,2016,6,29,Sd,Moto,Masculino,SD,SD
64,2016-0086,2016,6,30,Peaton,Peaton,Masculino,75,7/1/2016
65,2016-0087,2016,7,3,Conductor,Moto,Masculino,23,7/3/2016
66,2016-0088,2016,7,11,Peaton,Peaton,Femenino,70,7/14/2016
67,2016-0089,2016,7,14,Peaton,Peaton,Masculino,35,7/14/2016
